,path,label,RGB_R_mean,RGB_G_mean,RGB_B_mean,RGB_R_kurtosis,RGB_G_kurtosis,RGB_B_kurtosis,RGB_R_skew,RGB_G_skew,RGB_B_skew,RGB_R_entropy,RGB_G_entropy,RGB_B_entropy,RGB_R_var,RGB_G_var,RGB_B_var,contours,area,perimeter,major_axis_ellipse,minor_axis_ellipse,cx,cy,aspect_ratio
0,../data/Basmati/basmati (10036).jpg,Basmati,85.47197296352407,78.38573592821349,78.20522083673231,-1.5647623762096161,-1.5353042883245462,-1.537793260006625,0.6469556060311813,0.6571595794817019,0.6562509641760139,8.029456446842945,8.02196733636564,8.021370820145265,13441.847163442222,11390.910524889594,11340.01323926192,../imgs/basmati (10036).jpg,8785.5,480.09039986133575,213.17388916015625,54.324188232421875,120.11775083945138,124.34124409538444,2.3734939759036147
1,../data/Basmati/basmati (13404).jpg,Basmati,72.79767005891804,66.97027316550616,66.09775040171398,-1.152716377031834,-1.1170284881899826,-1.1130324446397766,0.9121086711988596,0.9222360749285734,0.9232583718957438,7.728001003998797,7.7183815814981696,7.721303844077815,12470.460535546199,10637.663819046968,10347.382517703098,../imgs/basmati (13404).jpg,7674.5,481.7472548484802,226.90032958984375,47.11064147949219,119.26894260212391,127.80152887267356,2.357142857142857
2,../data/Basmati/basmati (9896).jpg,Basmati,162.84343753955196,151.36134666497912,148.92342741425136,-1.4009828701764009,-1.3986453762041964,-1.3985910599442666,-0.7491372113140544,-0.7328797727686964,-0.7309682061494746,8.615369881835125,8.61061255965463,8.609557818317937,12045.930557174586,10517.42910457809,10203.276885658224,../imgs/basmati (9896).jpg,8092.0,500.86709356307983,239.1605987548828,45.20393371582031,127.39926264623496,118.29393227879387,1.05
3,../data/Basmati/basmati (7248).jpg,Basmati,59.803269679901085,55.357191921967306,54.812611622475615,-0.6053800536779632,-0.5856303742851026,-0.587540401901117,1.1726489800432427,1.177861870809896,1.1771910626799096,7.530713820288611,7.514119276086312,7.518486388808302,10634.913900560738,9212.970916472439,9011.959939861665,../imgs/basmati (7248).jpg,7491.5,458.89444267749786,212.5437774658203,47.132537841796875,122.32632539099868,124.50599568399741,4.06
4,../data/Basmati/basmati (4032).jpg,Basmati,86.85413700363867,79.94415440594842,79.9642461635817,-1.6087578613999205,-1.5919735250624,-1.5942328990478698,0.6087429021328656,0.6152478112843227,0.6142122842198047,7.75847745588981,7.740566571252802,7.741887855038133,13270.022704369143,11406.570050072032,11397.135567099029,../imgs/basmati (4032).jpg,6499.0,401.90663480758667,179.4892578125,48.17380142211914,122.20757039544546,123.48558752628608,0.39285714285714285
5,../data/Basmati/basmati (14903).jpg,Basmati,104.89626896268963,94.38800054667213,94.37952712860462,-1.8984557991664215,-1.8472417531111551,-1.8436202482671658,0.28352214016524474,0.30826212623270666,0.30996529223550434,8.112275994187057,8.10138479116338,8.102536758087021,13908.010423417065,11427.533615750719,11419.516885767918,../imgs/basmati (14903).jpg,7507.5,465.1442222595215,217.80941772460938,46.40721893310547,125.94880674880675,119.397224997225,0.580110497237569
6,../data/Basmati/basmati (2281).jpg,Basmati,93.93879907621248,85.11637156787272,84.22427508339749,-1.703045372301902,-1.6935929765973716,-1.69487831099244,0.5209284722578487,0.5253636720889191,0.5249935291365996,8.02554801022374,8.007940795848018,8.005227195333173,14175.097486163631,11811.686098407488,11585.132148723918,../imgs/basmati (2281).jpg,7989.0,458.33304047584534,206.26531982421875,52.10194396972656,125.61697333834022,128.63339174698544,0.4725274725274725
7,../data/Basmati/basmati (13463).jpg,Basmati,122.79134114583333,113.70236545138889,114.05848524305556,-1.9709501376297003,-1.9605137581020966,-1.9613448458988592,-0.023158997686927994,-0.016079204042989095,-0.016759615009164182,8.483034235985793,8.475229981562746,8.475091898302324,14159.473063045081,12251.56126176575,12327.141219233288,../imgs/basmati (13463).jpg,9418.0,494.3574249744415,223.2888946533203,56.00231170654297,127.98665675656544,120.77868620372335,1.5333333333333334
8,../data/Basmati/basmati (3736).jpg,Basmati,70.45449568906528,65.76228274257561,64.93184617490078,-1.1750422961099665,-1.1293341874902476,-1.1272020422019153,0.895847083786489,0.909386933441493,0.909913582703875,7.714836875335781,7.703521276204916,7.7048532094352975,11503.213031314712,10123.856587535765,9865.295204515547,../imgs/basmati (3736).jpg,7507.0,455.705624461174,214.10914611816406,47.68168258666992,123.80253985169396,121.21102526530792,2.6666666666666665
9,../data/Basmati/basmati (12242).jpg,Basmati,111.48474929325994,104.54456182115757,102.6918613301592,-1.9578184190623704,-1.945063179060172,-1.9422820111276944,0.1610535216055907,0.1685433632866182,0.1700130443659871,8.082367798041956,8.07309959515835,8.072822732812572,14013.51922136625,12446.300982552382,12016.341741528753,../imgs/basmati (12242).jpg,6896.0,430.5584354400635,211.39285278320312,44.91410446166992,119.76056167826758,128.80065738592418,0.6666666666666666
